Date,Price,Open,High,Low,Change %
"Mar 31, 2014",12.9254,12.9137,12.9427,12.8862,0.14%
"Apr 01, 2014",12.8988,12.9216,12.9371,12.8887,-0.21%
"Apr 02, 2014",12.8957,12.8948,12.9268,12.8886,-0.02%
"Apr 03, 2014",12.8753,12.8942,12.9243,12.851,-0.16%
"Apr 04, 2014",12.8606,12.8732,12.8826,12.8397,-0.11%
"Apr 07, 2014",12.8808,12.8549,12.8935,12.8458,0.16%
"Apr 08, 2014",12.9868,12.8797,12.9936,12.8744,0.82%
"Apr 09, 2014",13.0207,12.9841,13.0269,12.9647,0.26%
"Apr 10, 2014",13.0134,13.0199,13.043,12.9888,-0.06%
"Apr 11, 2014",12.9734,13.0121,13.0187,12.9599,-0.31%
"Apr 14, 2014",12.9711,12.9525,12.9835,12.9432,-0.02%
"Apr 15, 2014",12.9723,12.9696,12.9882,12.9332,0.01%
"Apr 16, 2014",13.0255,12.9712,13.0431,12.9625,0.41%
"Apr 17, 2014",13.0219,13.0219,13.0602,13.0143,-0.03%
"Apr 18, 2014",13.0332,13.0199,13.0332,13.0031,0.09%
"Apr 21, 2014",13.0204,13.0151,13.041,13.0112,-0.10%
"Apr 22, 2014",13.0433,13.0185,13.0563,13.0125,0.18%
"Apr 23, 2014",13.0108,13.041,13.0534,12.9934,-0.25%
"Apr 24, 2014",13.0297,13.0101,13.0328,12.9962,0.15%
"Apr 25, 2014",13.0296,13.0272,13.0492,13.0157,0.00%
"Apr 28, 2014",13.0309,13.0178,13.0689,13.0062,0.01%
"Apr 29, 2014",13.047,13.0292,13.0641,13.0181,0.12%
"Apr 30, 2014",13.0813,13.0461,13.1048,13.0276,0.26%
"May 01, 2014",13.0963,13.08,13.1182,13.0761,0.11%
"May 02, 2014",13.0759,13.0931,13.1012,13.0392,-0.16%
"May 05, 2014",13.075,13.0753,13.0932,13.0618,-0.01%
"May 06, 2014",13.1594,13.0711,13.1771,13.0711,0.65%
"May 07, 2014",13.1439,13.1595,13.1691,13.1395,-0.12%
"May 08, 2014",13.126,13.1426,13.1594,13.1161,-0.14%
"May 09, 2014",13.0623,13.1256,13.13,13.0453,-0.49%
"May 12, 2014",13.0759,13.051,13.1042,13.0479,0.10%
"May 13, 2014",13.0429,13.0735,13.0881,13.0348,-0.25%
"May 14, 2014",12.997,13.041,13.0803,12.984,-0.35%
"May 15, 2014",13.0148,12.9954,13.0287,12.967,0.14%
"May 16, 2014",13.0361,13.0143,13.0549,13.0081,0.16%
"May 19, 2014",13.0341,13.03,13.0593,13.0247,-0.02%
"May 20, 2014",13.0542,13.0328,13.073,13.0229,0.15%
"May 21, 2014",13.1033,13.0532,13.1191,13.0463,0.38%
"May 22, 2014",13.0811,13.1005,13.1178,13.0635,-0.17%
"May 23, 2014",13.0532,13.079,13.0862,13.0331,-0.21%
"May 26, 2014",13.0587,13.0515,13.0691,13.0436,0.04%
"May 27, 2014",13.0336,13.0555,13.0896,13.009,-0.19%
"May 28, 2014",12.9576,13.0322,13.0375,12.9431,-0.58%
"May 29, 2014",12.9598,12.9563,12.9799,12.94,0.02%
"May 30, 2014",12.9876,12.9581,13.0087,12.9552,0.21%
"Jun 02, 2014",12.9848,12.9916,13.0011,12.965,-0.02%
"Jun 03, 2014",12.9855,12.9837,13.0118,12.9689,0.01%
"Jun 04, 2014",12.9779,12.9839,13.0007,12.9432,-0.06%
"Jun 05, 2014",13.0402,12.974,13.0433,12.9617,0.48%
"Jun 06, 2014",13.026,13.0389,13.0606,13.0072,-0.11%
"Jun 09, 2014",13.0248,13.0192,13.0514,13.008,-0.01%
"Jun 10, 2014",12.9886,13.022,13.0368,12.9765,-0.28%
"Jun 11, 2014",13.0136,12.9881,13.0307,12.9735,0.19%
"Jun 12, 2014",13.1222,13.0126,13.1238,13.0093,0.83%
"Jun 13, 2014",13.1502,13.1206,13.1726,13.1155,0.21%
"Jun 16, 2014",13.1644,13.1532,13.1865,13.145,0.11%
"Jun 17, 2014",13.1505,13.1637,13.1713,13.1281,-0.11%
"Jun 18, 2014",13.1715,13.1491,13.1785,13.1181,0.16%
"Jun 19, 2014",13.2061,13.1696,13.2261,13.1616,0.26%
"Jun 20, 2014",13.1876,13.2059,13.226,13.1772,-0.14%
"Jun 23, 2014",13.1983,13.1869,13.2172,13.1754,0.08%
"Jun 24, 2014",13.1665,13.1975,13.2036,13.1484,-0.24%
"Jun 25, 2014",13.1652,13.1648,13.1804,13.1375,-0.01%
"Jun 26, 2014",13.1995,13.1644,13.2109,13.1522,0.26%
"Jun 27, 2014",13.2044,13.1963,13.2179,13.1807,0.04%
"Jun 30, 2014",13.2575,13.1901,13.2668,13.18,0.40%
"Jul 01, 2014",13.2914,13.2577,13.3047,13.2464,0.26%
"Jul 02, 2014",13.3034,13.2897,13.3133,13.2814,0.09%
"Jul 03, 2014",13.2951,13.3029,13.3077,13.2568,-0.06%
"Jul 04, 2014",13.2989,13.2934,13.3168,13.274,0.03%
"Jul 07, 2014",13.2742,13.2985,13.3076,13.2566,-0.19%
"Jul 08, 2014",13.277,13.2717,13.291,13.238,0.02%
"Jul 09, 2014",13.297,13.2754,13.301,13.2461,0.15%
"Jul 10, 2014",13.2774,13.2954,13.307,13.2534,-0.15%
"Jul 11, 2014",13.2717,13.2762,13.2937,13.2495,-0.04%
"Jul 14, 2014",13.2406,13.2646,13.2867,13.227,-0.23%
"Jul 15, 2014",13.286,13.239,13.3251,13.2192,0.34%
"Jul 16, 2014",13.2827,13.2839,13.2949,13.2628,-0.02%
"Jul 17, 2014",13.2545,13.2814,13.289,13.2406,-0.21%
"Jul 18, 2014",13.2451,13.2533,13.2705,13.2025,-0.07%
"Jul 21, 2014",13.2364,13.2472,13.2558,13.2191,-0.07%
"Jul 22, 2014",13.2277,13.2365,13.2441,13.2082,-0.07%
"Jul 23, 2014",13.2096,13.2265,13.2522,13.1912,-0.14%
"Jul 24, 2014",13.1647,13.2082,13.2187,13.1474,-0.34%
"Jul 25, 2014",13.1555,13.163,13.176,13.1432,-0.07%
"Jul 28, 2014",13.1627,13.1527,13.1771,13.1514,0.05%
"Jul 29, 2014",13.1321,13.1607,13.1725,13.1208,-0.23%
"Jul 30, 2014",13.1089,13.1305,13.1415,13.0871,-0.18%
"Jul 31, 2014",13.0869,13.1072,13.1194,13.062,-0.17%
